epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,44605.3,1.18522,2.36497,1.27169,0.86589,0.80332,0.86426,0.62307,1.11665,1.93791,1.23218,0.0068815,0.0068815,0.0068815
65,45308,1.18734,2.37066,1.26644,0.8688,0.80083,0.86476,0.62386,1.11644,1.93483,1.23176,0.006832,0.006832,0.006832
66,45993.7,1.17746,2.35283,1.2603,0.86992,0.80097,0.86468,0.6247,1.11558,1.93081,1.23103,0.0067825,0.0067825,0.0067825
67,46686.1,1.1854,2.33935,1.26856,0.87001,0.80084,0.8647,0.62529,1.11488,1.92826,1.23039,0.006733,0.006733,0.006733
68,47373.1,1.18143,2.34102,1.2677,0.86852,0.80264,0.86542,0.62603,1.11457,1.92422,1.22985,0.0066835,0.0066835,0.0066835
69,48063.7,1.18191,2.33124,1.26232,0.87397,0.79866,0.86546,0.62621,1.11433,1.9226,1.22933,0.006634,0.006634,0.006634
70,48759.9,1.17979,2.31427,1.25916,0.87502,0.79922,0.86562,0.62641,1.1136,1.92076,1.22878,0.0065845,0.0065845,0.0065845
71,49454.6,1.17769,2.32588,1.2623,0.87193,0.80337,0.86646,0.62663,1.11312,1.91828,1.22826,0.006535,0.006535,0.006535
72,50149.9,1.17828,2.32266,1.2604,0.8737,0.80178,0.86679,0.62711,1.1125,1.9163,1.22779,0.0064855,0.0064855,0.0064855
73,50845,1.16937,2.29841,1.25768,0.87398,0.80151,0.86756,0.62725,1.11193,1.91288,1.22718,0.006436,0.006436,0.006436
74,51545.1,1.17193,2.28212,1.25497,0.87699,0.80223,0.86799,0.62818,1.11171,1.91154,1.22686,0.0063865,0.0063865,0.0063865
75,52248.9,1.16933,2.26919,1.25623,0.87593,0.80272,0.8679,0.62843,1.1112,1.90867,1.22638,0.006337,0.006337,0.006337
76,52941.8,1.16772,2.26491,1.25471,0.87999,0.80157,0.86775,0.62862,1.1108,1.90547,1.22601,0.0062875,0.0062875,0.0062875
77,53644.9,1.16873,2.26091,1.25474,0.87792,0.80144,0.86794,0.62886,1.11018,1.90265,1.22555,0.006238,0.006238,0.006238
78,54348.7,1.16595,2.27329,1.25488,0.87553,0.80511,0.86858,0.6293,1.10954,1.90015,1.22503,0.0061885,0.0061885,0.0061885
79,55051.6,1.16397,2.26841,1.25521,0.87376,0.80651,0.86914,0.62968,1.10895,1.897,1.22423,0.006139,0.006139,0.006139
80,55741.2,1.16414,2.25214,1.2524,0.87613,0.80622,0.86965,0.63005,1.10861,1.8942,1.22381,0.0060895,0.0060895,0.0060895
81,56434.4,1.15454,2.24239,1.24677,0.87405,0.80709,0.86976,0.63076,1.10866,1.89206,1.22367,0.00604,0.00604,0.00604
82,57130.6,1.16255,2.24226,1.24762,0.87445,0.80769,0.87072,0.6312,1.1078,1.88984,1.22287,0.0059905,0.0059905,0.0059905
83,57817.4,1.15569,2.24366,1.25344,0.87395,0.80795,0.87072,0.63132,1.10738,1.88791,1.22241,0.005941,0.005941,0.005941
84,58514.8,1.1535,2.22594,1.24606,0.87784,0.80659,0.87139,0.63126,1.10701,1.8853,1.22205,0.0058915,0.0058915,0.0058915
85,59204.8,1.15407,2.20793,1.24097,0.87552,0.80821,0.87166,0.63203,1.10653,1.88241,1.2215,0.005842,0.005842,0.005842
86,59888.1,1.15409,2.21478,1.24641,0.87842,0.80733,0.87203,0.63235,1.10615,1.87969,1.22109,0.0057925,0.0057925,0.0057925
87,60576.1,1.15854,2.20361,1.24632,0.87731,0.80815,0.8723,0.63291,1.10573,1.87711,1.22088,0.005743,0.005743,0.005743
88,61273.1,1.14998,2.20121,1.24444,0.87705,0.80923,0.87286,0.63349,1.10503,1.87468,1.22043,0.0056935,0.0056935,0.0056935
89,61979.7,1.14759,2.18791,1.24027,0.87779,0.8091,0.87335,0.634,1.10457,1.87205,1.22,0.005644,0.005644,0.005644
90,62676,1.14822,2.19389,1.23817,0.87777,0.80993,0.87399,0.63432,1.10411,1.86945,1.21951,0.0055945,0.0055945,0.0055945
91,63382.2,1.14771,2.17746,1.2367,0.87915,0.81012,0.87443,0.63511,1.10366,1.86668,1.21915,0.005545,0.005545,0.005545
92,64073.9,1.15193,2.17323,1.23899,0.8789,0.81093,0.87519,0.63528,1.103,1.86466,1.21863,0.0054955,0.0054955,0.0054955
93,64766.7,1.14949,2.18442,1.24074,0.88126,0.80923,0.87514,0.63622,1.10254,1.86128,1.21822,0.005446,0.005446,0.005446
94,65484.4,1.15265,2.17133,1.23589,0.87847,0.81199,0.87574,0.63645,1.10179,1.85798,1.21774,0.0053965,0.0053965,0.0053965
95,66172.2,1.13844,2.15858,1.2375,0.87933,0.8126,0.87608,0.63705,1.10135,1.8553,1.21737,0.005347,0.005347,0.005347
96,66867.3,1.1418,2.16256,1.2379,0.88305,0.80846,0.87629,0.63814,1.10059,1.85193,1.21672,0.0052975,0.0052975,0.0052975
97,67555.2,1.14993,2.16338,1.23475,0.88403,0.80851,0.87638,0.63858,1.10023,1.84957,1.2164,0.005248,0.005248,0.005248
98,68240.6,1.141,2.14666,1.22944,0.88432,0.80967,0.87674,0.63869,1.09975,1.84611,1.2158,0.0051985,0.0051985,0.0051985
99,68945.7,1.14248,2.14063,1.22882,0.88502,0.80859,0.87696,0.6393,1.0994,1.84409,1.2155,0.005149,0.005149,0.005149
100,69638.6,1.13893,2.13611,1.23047,0.88757,0.80837,0.87726,0.63981,1.09901,1.84156,1.21493,0.0050995,0.0050995,0.0050995
101,70323,1.13576,2.13985,1.22967,0.88808,0.80773,0.87789,0.64009,1.09855,1.83981,1.21449,0.00505,0.00505,0.00505
102,71028.1,1.13501,2.12932,1.23405,0.89104,0.80687,0.87811,0.64039,1.09814,1.83734,1.21397,0.0050005,0.0050005,0.0050005
103,71730,1.13056,2.11019,1.23154,0.88856,0.80907,0.87824,0.64103,1.09813,1.83555,1.21365,0.004951,0.004951,0.004951
104,72433.5,1.13075,2.10148,1.22944,0.88924,0.80845,0.8785,0.64129,1.09758,1.83337,1.21338,0.0049015,0.0049015,0.0049015
105,73139.8,1.13476,2.11462,1.23145,0.89072,0.80967,0.87969,0.64209,1.09725,1.83096,1.21295,0.004852,0.004852,0.004852
106,73839.7,1.13012,2.11213,1.22936,0.89049,0.8089,0.88027,0.64299,1.09681,1.82923,1.21251,0.0048025,0.0048025,0.0048025
107,74553.6,1.12658,2.10352,1.22444,0.8959,0.80548,0.88059,0.64325,1.09619,1.82708,1.21203,0.004753,0.004753,0.004753
108,75243.7,1.12841,2.09857,1.22491,0.88904,0.81105,0.88047,0.64334,1.09599,1.82572,1.21175,0.0047035,0.0047035,0.0047035
109,75947.6,1.1288,2.09024,1.21983,0.8895,0.8118,0.88124,0.64431,1.09598,1.82438,1.21142,0.004654,0.004654,0.004654
110,76638.7,1.13013,2.10521,1.22582,0.89165,0.81103,0.88083,0.64469,1.09558,1.8223,1.21096,0.0046045,0.0046045,0.0046045
111,77327,1.12343,2.09245,1.2239,0.89281,0.81185,0.88097,0.64486,1.09542,1.8208,1.21046,0.004555,0.004555,0.004555
112,78021.1,1.12702,2.0839,1.21949,0.89237,0.81254,0.88113,0.64528,1.09491,1.81892,1.21018,0.0045055,0.0045055,0.0045055
113,78718.3,1.11773,2.06087,1.21803,0.89036,0.81405,0.88121,0.64524,1.09442,1.81619,1.20965,0.004456,0.004456,0.004456
114,79417,1.12114,2.07163,1.22259,0.89397,0.81224,0.88177,0.64591,1.09404,1.81421,1.20911,0.0044065,0.0044065,0.0044065
115,80111.6,1.1218,2.05239,1.21596,0.89468,0.81195,0.88223,0.6464,1.09378,1.81226,1.20888,0.004357,0.004357,0.004357
116,80798.1,1.12222,2.06342,1.21953,0.89392,0.81372,0.88233,0.64688,1.09293,1.81049,1.20819,0.0043075,0.0043075,0.0043075
117,81490.2,1.11391,2.04833,1.21086,0.89233,0.81508,0.88246,0.64716,1.09249,1.80865,1.20772,0.004258,0.004258,0.004258
118,82186.6,1.11981,2.04831,1.21441,0.89358,0.81493,0.88261,0.64754,1.09239,1.80716,1.20749,0.0042085,0.0042085,0.0042085
119,82882.3,1.1191,2.03957,1.21279,0.89487,0.81325,0.88311,0.64808,1.09205,1.80476,1.20718,0.004159,0.004159,0.004159
120,83589.1,1.11448,2.03741,1.21337,0.8953,0.81333,0.88368,0.6484,1.09154,1.80237,1.20672,0.0041095,0.0041095,0.0041095
121,84288.9,1.11675,2.01917,1.21327,0.89638,0.81338,0.88423,0.64881,1.09125,1.79993,1.20624,0.00406,0.00406,0.00406
122,84975.7,1.11041,2.0165,1.21209,0.8988,0.81163,0.88449,0.64912,1.09073,1.79907,1.2058,0.0040105,0.0040105,0.0040105
123,85678.8,1.10979,2.01736,1.21001,0.89637,0.81352,0.88482,0.64946,1.09032,1.79787,1.20528,0.003961,0.003961,0.003961
124,86370.9,1.11665,2.0253,1.21526,0.89144,0.81647,0.8853,0.6497,1.09008,1.79677,1.20494,0.0039115,0.0039115,0.0039115
125,87073.8,1.11525,2.00028,1.21147,0.89257,0.81538,0.88577,0.65054,1.08997,1.79466,1.20467,0.003862,0.003862,0.003862
126,87774.1,1.10836,1.99041,1.20774,0.89458,0.8137,0.88603,0.65071,1.08957,1.79241,1.20426,0.0038125,0.0038125,0.0038125
127,88469.4,1.10977,1.99573,1.20781,0.89446,0.81331,0.88654,0.65142,1.08906,1.79143,1.20381,0.003763,0.003763,0.003763
128,89166.1,1.10829,1.99029,1.20788,0.88865,0.81893,0.8868,0.65202,1.08876,1.79,1.20361,0.0037135,0.0037135,0.0037135
129,89860.1,1.10513,1.98525,1.20698,0.8878,0.82187,0.88674,0.65189,1.08862,1.78896,1.20323,0.003664,0.003664,0.003664
130,90553.8,1.1027,1.97823,1.20432,0.88874,0.82158,0.88703,0.65198,1.08835,1.78687,1.2028,0.0036145,0.0036145,0.0036145
131,91252,1.10338,1.97983,1.20536,0.88769,0.8225,0.88748,0.65291,1.08778,1.78637,1.20242,0.003565,0.003565,0.003565
132,91962.8,1.09903,1.96931,1.19969,0.88764,0.82281,0.88733,0.65306,1.08754,1.7845,1.20186,0.0035155,0.0035155,0.0035155
133,92653.3,1.1045,1.96934,1.20562,0.88615,0.82361,0.88748,0.65341,1.08708,1.78356,1.20132,0.003466,0.003466,0.003466
134,93342.3,1.09607,1.9679,1.20036,0.88818,0.82424,0.88794,0.6538,1.08651,1.78215,1.20074,0.0034165,0.0034165,0.0034165
135,94043.3,1.09734,1.94503,1.19974,0.89225,0.82203,0.88898,0.65439,1.08602,1.78109,1.20029,0.003367,0.003367,0.003367
136,94728,1.09033,1.94432,1.19792,0.8934,0.82291,0.88928,0.65527,1.08549,1.78008,1.19996,0.0033175,0.0033175,0.0033175
137,95431.1,1.09653,1.95668,1.20047,0.89567,0.82275,0.88934,0.6555,1.08519,1.77997,1.1997,0.003268,0.003268,0.003268
138,96127.1,1.09804,1.94703,1.19783,0.89444,0.82231,0.8896,0.65611,1.08509,1.7791,1.19942,0.0032185,0.0032185,0.0032185
139,96825.4,1.09987,1.94781,1.20127,0.89379,0.82295,0.88989,0.65681,1.08465,1.7775,1.1991,0.003169,0.003169,0.003169
